id	name	type	team	initiationDate	finalisationDate	finalStatus
1000300	Context-1000300	soccer	Team-34	2001-08-08		
1001632	Context-1001632	track cycling	Team-93	2011-12-16		
1002963	Context-1002963	road cycling	Team-67	2009-05-12		
1000301	Context-1000301	kayak	Team-71	1999-02-15		
1001631	Context-1001631	jeu de paume	Team-61	2012-01-13		
1002962	Context-1002962	water polo	Team-52	2006-03-28		
1000302	Context-1000302	polo	Team-43	2003-07-25		
1001634	Context-1001634	bowling	Team-5	1999-03-03		
1002965	Context-1002965	equestrian	Team-73	2010-05-25		
1000303	Context-1000303	wrestling	Team-56	2005-04-28		
1001633	Context-1001633	kayak	Team-83	2014-11-02		
1002964	Context-1002964	tennis	Team-78	2002-08-22		
1001630	Context-1001630	jeu de paume	Team-87	2013-12-12		
1002961	Context-1002961	fencing	Team-36	2010-10-15		
1002960	Context-1002960	volleyball (indoor)	Team-40	2013-06-20		
1000308	Context-1000308	diving	Team-44	2008-08-12		
1000309	Context-1000309	squash	Team-27	2005-02-04		
1001639	Context-1001639	polo	Team-74	2015-08-19		
1000304	Context-1000304	surfing	Team-89	2002-01-21		
1001636	Context-1001636	equestrian	Team-69	2010-06-21		
1002967	Context-1002967	wakeboard	Team-84	2007-06-10		
1000305	Context-1000305	beach volleyball	Team-66	2012-03-20		
1001635	Context-1001635	karate	Team-11	2009-10-12		
1002966	Context-1002966	beach volleyball	Team-17	2011-06-04		
1000306	Context-1000306	wushu	Team-76	1998-12-09		
1001638	Context-1001638	squash	Team-36	2012-02-06		
1002969	Context-1002969	judo	Team-85	2006-11-16		
1000307	Context-1000307	diving	Team-53	2014-07-28		
1001637	Context-1001637	track and field	Team-89	1999-05-19		
1002968	Context-1002968	equestrian	Team-1	2007-09-10		
1001621	Context-1001621	water polo	Team-6	2015-07-06		
1002952	Context-1002952	wushu	Team-41	2007-04-01		
1001620	Context-1001620	beach volleyball	Team-68	2002-09-15		
1002951	Context-1002951	diving	Team-62	1998-04-05		
1001623	Context-1001623	tug-of-war	Team-72	2006-02-04		
1002954	Context-1002954	taekwondo	Team-21	2016-07-10		
1001622	Context-1001622	canoe	Team-33	2012-10-19		
1002953	Context-1002953	cricket	Team-74	2012-04-21		
1002950	Context-1002950	wrestling	Team-11	2003-11-25		
1001629	Context-1001629	canoe	Team-81	2013-09-05		
1001628	Context-1001628	plunge for distance	Team-9	2016-02-10		
1002959	Context-1002959	volleyball (indoor)	Team-19	2006-01-16		
1001625	Context-1001625	squash	Team-29	2005-07-02		
1002956	Context-1002956	squash	Team-32	2006-12-03		
1001624	Context-1001624	wakeboard	Team-50	2012-12-20		
1002955	Context-1002955	equestrian	Team-74	2011-07-01		
1001627	Context-1001627	table tennis	Team-59	2001-12-12		
1002958	Context-1002958	mountain cycling	Team-25	2000-11-22		
1001626	Context-1001626	chariot racing	Team-57	2000-11-20		
1002957	Context-1002957	motor boating	Team-77	2013-07-16		
1000322	Context-1000322	diving	Team-24	2004-09-05		
1001654	Context-1001654	bowling	Team-46	2016-11-11		
1002985	Context-1002985	boxing	Team-75	2012-07-15		
1000323	Context-1000323	sailing	Team-60	2011-03-27		
1001653	Context-1001653	underwater swimming	Team-46	2004-02-18		
1002984	Context-1002984	gymnastics	Team-89	2006-07-14		
1000324	Context-1000324	fencing	Team-10	2002-08-12		
1001656	Context-1001656	climbing	Team-28	2015-10-25		
1002987	Context-1002987	handball	Team-38	2009-03-19		
1000325	Context-1000325	diving	Team-28	2017-02-21		
1001655	Context-1001655	road cycling	Team-84	2016-11-15		
1002986	Context-1002986	golf	Team-86	2007-02-02		
1001650	Context-1001650	plunge for distance	Team-41	2000-12-05		
1002981	Context-1002981	volleyball (indoor)	Team-14	2003-08-04		
1002980	Context-1002980	underwater swimming	Team-93	2012-02-13		
1000320	Context-1000320	baseball	Team-26	2007-09-06		
1001652	Context-1001652	wrestling	Team-26	2006-08-27		
1002983	Context-1002983	roller sport	Team-14	2001-06-04		
1000321	Context-1000321	weightlifting	Team-51	2003-06-20		
1001651	Context-1001651	table tennis	Team-87	2004-06-17		
1002982	Context-1002982	rowing	Team-66	2009-09-01		
1000326	Context-1000326	pankration	Team-38	1999-09-16		
1001658	Context-1001658	roller sport	Team-34	2003-09-07		
1002989	Context-1002989	soccer	Team-69	1999-06-06		
1000327	Context-1000327	diving	Team-87	2015-07-17		
1001657	Context-1001657	rugby union	Team-11	2006-06-19		
1002988	Context-1002988	jeu de paume	Team-88	2000-11-20		
1000328	Context-1000328	rowing	Team-64	2012-05-27		
1000329	Context-1000329	tennis	Team-13	2000-06-24		
1001659	Context-1001659	pankration	Team-66	2012-02-09		
1000311	Context-1000311	obstacle race for swimming	Team-74	2013-09-24		
1001643	Context-1001643	table tennis	Team-7	1998-08-17		
1002974	Context-1002974	taekwondo	Team-64	2003-11-03		
1000312	Context-1000312	gymnastics	Team-78	2012-05-25		
1001642	Context-1001642	judo	Team-54	2012-08-27		
1002973	Context-1002973	canoe	Team-22	2011-06-27		
1000313	Context-1000313	triathlon	Team-66	2016-01-15		
1001645	Context-1001645	rugby union	Team-6	2009-11-02		
1002976	Context-1002976	sailing	Team-84	2011-11-02		
1000314	Context-1000314	tennis	Team-77	2013-06-04		
1001644	Context-1001644	table tennis	Team-45	2000-08-14		
1002975	Context-1002975	baseball	Team-77	2003-07-03		
1002970	Context-1002970	tug-of-war	Team-88	2002-01-13		
1001641	Context-1001641	jeu de paume	Team-12	2010-03-20		
1002972	Context-1002972	handball	Team-68	2006-03-06		
