id	contextId	type	date
100000463	300000097	Research	2001-04-16
100000465	300000097	Research	1999-11-15
100000464	300000097	Observation	2001-03-24
100000460	300000096	Research	2013-09-16
100000458	300000096	Interview	2013-10-16
100000459	300000096	Interview	2014-03-27
100000461	300000096	Interview	2012-11-30
100000462	300000096	Scientific	2012-12-29
100000475	300000099	Interview	2013-10-02
100000470	300000099	Scientific	2012-07-03
100000476	300000099	Observation	2012-07-19
100000471	300000099	Interview	2013-04-01
100000474	300000099	Research	2011-11-12
100000472	300000099	Research	2013-08-01
100000473	300000099	Interview	2013-02-11
100000466	300000098	Research	2004-07-21
100000467	300000098	Observation	2004-06-28
100000469	300000098	Interview	2004-05-24
100000468	300000098	Research	2005-04-26
100000304	300000065	Interview	2015-08-31
100000303	300000065	Scientific	2015-09-10
100000301	300000065	Interview	2014-10-13
100000302	300000065	Scientific	2014-02-15
100000300	300000065	Observation	2014-07-30
100000298	300000064	Research	2006-11-20
100000299	300000064	Scientific	2008-04-09
100000297	300000064	Research	2007-04-22
100000311	300000067	Interview	2003-05-26
100000310	300000067	Interview	2003-03-27
100000312	300000067	Research	2003-08-01
100000313	300000067	Scientific	2004-08-11
100000307	300000066	Scientific	2001-09-29
100000305	300000066	Research	2000-03-29
100000306	300000066	Scientific	2000-08-23
100000308	300000066	Research	2001-07-24
100000309	300000066	Scientific	1999-11-07
100000319	300000069	Interview	2009-02-02
100000318	300000069	Research	2009-04-27
100000320	300000069	Scientific	2008-06-22
100000317	300000069	Scientific	2009-01-27
100000315	300000068	Observation	2015-03-30
100000316	300000068	Interview	2014-09-11
100000314	300000068	Observation	2014-07-08
100000331	300000071	Scientific	2008-12-27
100000330	300000071	Observation	2009-03-29
100000327	300000071	Scientific	2008-05-24
100000333	300000071	Interview	2009-03-06
100000329	300000071	Research	2008-08-17
100000332	300000071	Observation	2009-01-09
100000328	300000071	Research	2007-12-01
100000326	300000070	Observation	2014-02-06
100000323	300000070	Observation	2014-05-17
100000321	300000070	Interview	2014-04-07
100000324	300000070	Scientific	2013-10-15
100000322	300000070	Interview	2014-05-17
100000325	300000070	Scientific	2013-04-25
100000342	300000073	Interview	2014-11-25
100000346	300000073	Interview	2014-07-12
100000347	300000073	Observation	2015-02-23
100000344	300000073	Scientific	2014-02-09
100000343	300000073	Research	2014-10-20
100000345	300000073	Observation	2014-04-14
100000341	300000073	Interview	2014-09-03
100000339	300000072	Research	2005-05-07
100000335	300000072	Scientific	2005-10-27
100000338	300000072	Interview	2005-09-23
100000334	300000072	Research	2006-07-20
100000336	300000072	Scientific	2006-05-02
100000340	300000072	Research	2005-02-10
100000337	300000072	Interview	2005-05-13
100000352	300000075	Scientific	2017-12-13
100000353	300000075	Research	2017-06-09
100000356	300000075	Observation	2017-02-03
100000354	300000075	Research	2017-08-10
100000355	300000075	Interview	2017-02-15
100000350	300000074	Observation	2015-08-05
100000348	300000074	Scientific	2015-05-03
100000349	300000074	Research	2015-11-17
100000351	300000074	Observation	2014-03-08
100000365	300000077	Observation	2010-08-13
100000364	300000077	Scientific	2011-03-15
100000360	300000076	Interview	2010-02-20
100000357	300000076	Observation	2011-07-24
100000359	300000076	Observation	2011-05-06
100000361	300000076	Research	2011-03-19
100000362	300000076	Interview	2010-08-20
100000363	300000076	Interview	2010-03-17
