id	name	type	location	team	initiationDate	finalisationDate	finalStatus
1000	Dancing-1000	Dancing	Albany Creek	Team-36	2013-10-26	2015-05-28	
1001	Baseball-1001	Baseball	Woodridge (Qld)	Team-30	2000-06-12	2002-03-15	
1002	Lacrosse-1002	Lacrosse	The Rocks (Sydney - NSW)	Team-35	2012-04-25	2013-02-07	
1003	Dancing-1003	Dancing	Tecoma	Team-27	2011-09-27	2013-03-12	
1004	Boxing-1004	Boxing	Solomon Islands	Team-2	2004-11-08	2006-06-14	
1005	Netball-1005	Netball	Malta	Team-66	2005-10-13	2007-10-14	
1006	Rugby 7s-1006	Rugby 7s	Sinnamon Park	Team-84	2004-09-17	2005-07-06	
1007	Golf-1007	Golf	Flora Hill	Team-60	2008-11-12	2009-04-27	
1008	Hockey-1008	Hockey	Cremorne Point	Team-41	2009-09-14	2011-06-21	
1009	Basketball-1009	Basketball	Eagleby	Team-22	2003-10-25	2004-08-07	
1010	Golf-1010	Golf	Parkwood (WA)	Team-83	2002-05-13	2004-01-01	
1011	Shooting-1011	Shooting	Minto	Team-93	2012-05-05	2013-12-20	
1012	Bowling-1012	Bowling	Bangholme	Team-30	2017-07-26	2019-07-02	
1013	Boxing-1013	Boxing	Camden South	Team-93	2002-07-14	2003-12-15	
1014	Cycling-1014	Cycling	Armenia	Team-81	2016-02-17	2016-07-04	
1015	Rugby 7s-1015	Rugby 7s	Keysborough	Team-1	1998-03-07	1999-10-26	
1016	Tennis-1016	Tennis	Bossley Park	Team-47	2014-07-08	2016-03-10	
1017	Badminton-1017	Badminton	Boronia	Team-62	2016-12-12	2018-10-17	
1018	Pentathlon-1018	Pentathlon	Hawthorn (Vic.)	Team-46	2001-12-10	2003-09-05	
1019	Rugby union-1019	Rugby union	Sherwood (Qld)	Team-55	2012-11-27	2014-07-21	
1020	Handball-1020	Handball	Clearview	Team-45	2004-10-07	2006-10-09	
1021	Baseball-1021	Baseball	Eltham (Vic.)	Team-14	2005-04-21	2007-03-31	
1022	Rugby union-1022	Rugby union	Palmyra (WA)	Team-93	2002-05-08	2003-12-04	
1023	Cycling-1023	Cycling	Upper Mount Gravatt	Team-52	2009-08-08	2011-07-29	
1024	Polo-1024	Polo	Labrador	Team-59	1999-03-18	2001-01-20	
1025	Judo-1025	Judo	Macarthur (ACT)	Team-72	2009-09-15	2011-03-12	
1026	Boxing-1026	Boxing	Prairiewood	Team-34	2004-05-19	2005-08-26	
1027	Sailing-1027	Sailing	Sunbury	Team-2	2007-11-09	2009-11-12	
1028	Softball-1028	Softball	Pinnacles	Team-10	2011-06-11	2011-07-04	
1029	Track and field-1029	Track and field	Bossley Park	Team-42	2015-08-10	2017-06-10	
1030	Handball-1030	Handball	North Wahroonga	Team-41	2010-06-14	2012-05-29	
1031	Weightlifting-1031	Weightlifting	Southport (Qld)	Team-6	2001-01-09	2002-05-25	
1032	Dancing-1032	Dancing	China	Team-21	2002-07-16	2004-07-09	
1033	Dancing-1033	Dancing	Ashby (WA)	Team-50	2001-11-02	2002-10-17	
1034	Cycling-1034	Cycling	Marrickville	Team-59	2010-07-20	2011-12-08	
1035	Shooting-1035	Shooting	Wollongong	Team-71	2010-04-26	2012-02-20	
1036	Shooting-1036	Shooting	Craigmore	Team-57	2014-06-23	2015-01-01	
1037	Diving-1037	Diving	Boronia	Team-4	2002-01-14	2004-01-19	
1038	Boxing-1038	Boxing	Gould Creek	Team-35	2003-09-10	2005-07-15	
1039	Boxing-1039	Boxing	Cossack (NT)	Team-51	2008-08-10	2010-05-28	
1040	Squash-1040	Squash	Ravenswood (Tas.)	Team-12	2016-02-09	2017-12-20	
1041	Karate-1041	Karate	Cambodia	Team-61	1999-09-15	2001-06-03	
1042	Handball-1042	Handball	Hoppers Crossing	Team-24	2002-03-04	2003-10-01	
1043	Cycling-1043	Cycling	Timor Leste	Team-52	2000-06-13	2001-08-28	
1044	Water polo-1044	Water polo	Travancore	Team-77	2000-11-18	2002-07-24	
1045	Judo-1045	Judo	Arundel	Team-6	2006-09-05	2008-06-23	
1046	Kayak-1046	Kayak	Jamaica	Team-89	2016-03-03	2017-07-15	
1047	Fencing-1047	Fencing	Toongabbie (NSW)	Team-92	2000-10-07	2001-11-21	
1048	Golf-1048	Golf	Broadbeach	Team-49	2006-01-21	2006-11-06	
1049	Surfing-1049	Surfing	Mosman	Team-91	2005-04-18	2007-04-05	
1050	Wrestling-1050	Wrestling	Palmyra (WA)	Team-55	2012-11-08	2013-05-08	
1051	Pentathlon-1051	Pentathlon	Albert Park (Vic.)	Team-20	2013-03-21	2015-03-16	
1052	Shooting-1052	Shooting	Leichhardt (Qld)	Team-16	2011-10-14	2013-02-26	
1053	Karate-1053	Karate	Afghanistan	Team-11	2016-08-11	2018-05-16	
1054	Tennis-1054	Tennis	Melbourne	Team-53	2017-09-02	2019-08-27	
1055	Bowling-1055	Bowling	No usual address (ACT)	Team-34	2003-03-28	2004-12-10	
1056	Swimming-1056	Swimming	Templestowe	Team-39	2008-07-02	2009-09-21	
1057	Softball-1057	Softball	Lilydale (Vic.)	Team-25	2004-02-13	2006-01-06	
1058	Golf-1058	Golf	Camperdown (NSW)	Team-36	2009-10-09	2011-09-18	
1059	Polo-1059	Polo	New Beith	Team-10	2001-06-13	2003-06-05	
1060	Polo-1060	Polo	Llandilo	Team-63	1999-07-17	2001-06-02	
1061	Polo-1061	Polo	North Booval	Team-53	2011-06-22	2012-10-22	
1062	Cycling-1062	Cycling	Cranbourne East	Team-41	1999-05-02	2000-12-27	
1063	Judo-1063	Judo	Attadale	Team-52	2008-08-28	2010-04-03	
1064	Sailing-1064	Sailing	Waitara	Team-31	2008-07-13	2009-05-20	
1065	Polo-1065	Polo	Aspendale	Team-71	2008-07-04	2010-05-30	
1066	Gymnastics-1066	Gymnastics	Pyrmont	Team-72	2007-06-16	2008-12-17	
1067	Golf-1067	Golf	St Albans (Vic.)	Team-90	2001-11-03	2003-10-10	
1068	Hockey-1068	Hockey	Toowong	Team-37	2014-10-10	2016-06-14	
1069	Croquet-1069	Croquet	Labrador	Team-50	2000-11-16	2002-01-29	
1070	Rowing-1070	Rowing	Conder	Team-13	1998-05-08	1999-11-30	
1071	Basketball-1071	Basketball	St Kilda (Vic.)	Team-74	2004-09-21	2006-03-02	
1072	Triathlon-1072	Triathlon	Cape Verde	Team-52	2006-01-25	2007-07-18	
1073	Lacrosse-1073	Lacrosse	Beachmere	Team-19	1999-06-21	2000-06-19	
1074	Pentathlon-1074	Pentathlon	Tanilba Bay	Team-46	2014-12-18	2016-12-05	
1075	Croquet-1075	Croquet	Sailors Gully	Team-81	2012-10-04	2014-09-27	
1076	Basketball-1076	Basketball	Waterford (WA)	Team-63	2007-03-28	2007-05-02	
1077	Gymnastics-1077	Gymnastics	Black Rock (Vic.)	Team-83	2013-10-10	2015-10-10	
1078	Karate-1078	Karate	Kyeemagh	Team-33	2016-07-26	2017-03-13	
1079	Equestrian-1079	Equestrian	Tarneit	Team-47	2001-10-28	2003-10-05	
1080	Swimming-1080	Swimming	Everton Park	Team-49	2011-04-11	2012-10-21	
1081	Track and field-1081	Track and field	France	Team-67	1998-11-15	1999-03-23	
1082	Shooting-1082	Shooting	South Morang	Team-37	2012-07-16	2014-06-11	
